step,loss,lr
1,3.874327,3E-05
2,3.844301,6E-05
3,3.809724,9E-05
4,3.755737,0.00012
5,3.716201,0.00015
6,3.633644,0.00018
7,3.593007,0.00021
8,3.612977,0.00024
9,3.528381,0.00027
10,3.501111,0.0003
11,3.503643,0.00033
12,3.466348,0.00036
13,3.354172,0.00039
14,3.307118,0.00042
15,3.337272,0.00045
16,3.286577,0.00048
17,3.187048,0.00051
18,3.245444,0.00054
19,3.143237,0.00057
20,3.208166,0.0006
21,3.111830,0.00063
22,3.145648,0.00066
23,3.141906,0.00069
24,2.981157,0.00072
25,2.972180,0.00075
26,2.921673,0.00078
27,2.858665,0.00081
28,2.791248,0.00084
29,2.856770,0.00087
30,2.839496,0.0009
31,2.711365,0.00093
32,2.555711,0.00096
33,2.571984,0.00099
34,2.669555,0.00102
35,2.606120,0.00105
36,2.507658,0.00108
37,2.561053,0.00111
38,2.436462,0.00114
39,2.496927,0.00117
40,2.422244,0.0012
41,2.463205,0.00123
42,2.396980,0.00126
43,2.409824,0.00129
44,2.296618,0.00132
45,2.451806,0.00135
46,2.328886,0.00138
47,2.336126,0.00141
48,2.219218,0.00144
49,2.498461,0.00147
50,2.348285,0.0015
51,2.237008,0.00153
52,2.248353,0.00156
53,2.051764,0.00159
54,2.323917,0.00162
55,2.209857,0.00165
56,2.187420,0.00168
57,2.153235,0.00171
58,2.044566,0.00174
59,2.027348,0.00177
60,2.282201,0.0018
61,2.108807,0.00183
62,2.095287,0.00186
63,2.378097,0.00189
64,1.974082,0.00192
65,2.176266,0.00195
66,1.883444,0.00198
67,2.148831,0.00201
68,2.050204,0.00204
69,2.241859,0.00207
70,2.153470,0.0021
71,2.137518,0.00213
72,1.958534,0.00216
73,2.056624,0.00219
74,2.042024,0.00222
75,1.936068,0.00225
76,1.868901,0.00228
77,2.189879,0.00231
78,1.968928,0.00234
79,1.954584,0.00237
80,1.918610,0.0024
81,2.174821,0.00243
82,2.182416,0.00246
83,2.320797,0.00249
84,2.076580,0.00252
85,2.044540,0.00255
86,1.896586,0.00258
87,1.758656,0.00261
88,1.842138,0.00264
89,1.879540,0.00267
90,1.862416,0.0027
91,1.929780,0.00273
92,2.146171,0.00276
93,2.116536,0.00279
94,2.342032,0.00282
95,2.078869,0.00285
96,2.122559,0.00288
97,1.699751,0.00291
98,2.046225,0.00294
99,1.764176,0.00297
100,1.863076,0.003
101,1.804720,0.003
102,1.891723,0.00299999
103,1.526343,0.00299997
104,1.993975,0.00299995
105,1.881553,0.00299992
106,1.964164,0.00299988
107,1.794840,0.00299983
108,1.897984,0.00299978
109,1.616813,0.00299972
110,1.940539,0.00299966
111,1.812790,0.00299959
112,2.111327,0.00299951
113,2.057225,0.00299943
114,1.870321,0.00299933
115,2.062108,0.00299924
116,1.690291,0.00299913
117,1.724178,0.00299902
118,1.793357,0.0029989
119,1.767316,0.00299877
120,1.769027,0.00299864
121,1.557523,0.0029985
122,1.720300,0.00299836
123,1.910763,0.0029982
124,1.907161,0.00299804
125,1.620964,0.00299788
126,2.081049,0.0029977
127,1.992608,0.00299752
128,1.653053,0.00299734
129,1.777747,0.00299714
130,1.415709,0.00299694
131,2.198918,0.00299673
132,1.598003,0.00299652
133,1.395227,0.0029963
134,1.488744,0.00299607
135,1.521094,0.00299584
136,1.754899,0.0029956
137,1.726643,0.00299535
138,1.272225,0.00299509
139,1.810591,0.00299483
140,1.677702,0.00299457
141,1.703354,0.00299429
142,1.639301,0.00299401
143,1.221621,0.00299372
144,1.792568,0.00299342
145,1.686080,0.00299312
146,1.563884,0.00299281
147,1.696086,0.0029925
148,2.012822,0.00299218
149,1.569542,0.00299185
150,1.398255,0.00299151
151,1.370127,0.00299117
152,1.557242,0.00299082
153,1.340702,0.00299046
154,1.540524,0.0029901
155,1.400079,0.00298973
156,1.667071,0.00298935
157,1.930020,0.00298897
158,1.885495,0.00298858
159,1.463974,0.00298819
160,1.340641,0.00298778
161,1.540371,0.00298737
162,1.301400,0.00298696
163,1.143450,0.00298653
164,1.336751,0.0029861
165,1.642000,0.00298566
166,1.635127,0.00298522
167,1.440105,0.00298477
168,1.525454,0.00298431
169,1.795043,0.00298385
170,1.296041,0.00298338
171,1.354815,0.0029829
172,1.269435,0.00298242
173,1.539865,0.00298193
174,1.295329,0.00298143
175,1.443888,0.00298093
176,1.656663,0.00298042
177,1.426175,0.0029799
178,1.638939,0.00297937
179,1.824259,0.00297884
180,1.130409,0.0029783
181,1.544869,0.00297776
182,1.831768,0.00297721
183,1.531373,0.00297665
184,1.494850,0.00297609
185,1.515972,0.00297552
186,1.221532,0.00297494
187,1.490008,0.00297435
188,1.411503,0.00297376
189,1.432616,0.00297317
190,1.314186,0.00297256
191,1.416534,0.00297195
192,1.411286,0.00297133
193,1.638484,0.00297071
194,1.351477,0.00297008
195,1.251379,0.00296944
196,1.407871,0.0029688
197,1.363910,0.00296815
198,1.290059,0.00296749
199,1.236846,0.00296682
200,1.457309,0.00296615
201,1.401114,0.00296548
202,1.481003,0.00296479
203,1.430387,0.0029641
204,1.738866,0.0029634
205,1.251114,0.0029627
206,1.292295,0.00296199
207,1.209379,0.00296127
208,1.559758,0.00296055
209,1.395055,0.00295982
210,1.453782,0.00295908
211,1.530682,0.00295834
212,1.192236,0.00295759
213,1.142893,0.00295683
214,0.914006,0.00295607
215,1.298230,0.0029553
216,1.607156,0.00295452
217,1.731106,0.00295374
218,1.629016,0.00295295
219,1.353426,0.00295215
220,0.951662,0.00295135
221,1.498613,0.00295054
222,1.060612,0.00294972
223,1.440135,0.0029489
224,0.927334,0.00294807
225,1.330977,0.00294724
226,1.026026,0.0029464
227,1.549613,0.00294555
228,1.450306,0.00294469
229,1.227602,0.00294383
230,1.335667,0.00294296
231,1.027456,0.00294209
232,0.862136,0.00294121
233,1.413093,0.00294032
234,1.133701,0.00293943
235,1.082714,0.00293853
236,0.879698,0.00293762
237,1.551708,0.00293671
238,1.118869,0.00293579
239,1.932348,0.00293486
240,1.496840,0.00293393
241,1.282218,0.00293299
242,1.498788,0.00293204
243,1.167249,0.00293109
244,0.948912,0.00293013
245,1.655725,0.00292916
246,1.386781,0.00292819
247,1.549607,0.00292722
248,1.553191,0.00292623
249,1.239005,0.00292524
250,1.108945,0.00292424
251,1.078417,0.00292324
252,1.506417,0.00292223
253,1.256681,0.00292121
254,1.002199,0.00292019
255,1.365353,0.00291916
256,1.244454,0.00291812
257,1.155126,0.00291708
258,1.475227,0.00291603
259,1.273114,0.00291498
260,1.596567,0.00291392
261,1.476245,0.00291285
262,0.898193,0.00291178
263,1.616959,0.0029107
264,1.336878,0.00290961
265,1.116339,0.00290852
266,1.119002,0.00290742
267,1.088768,0.00290631
268,1.266275,0.0029052
269,1.185895,0.00290408
270,1.052352,0.00290296
271,1.083454,0.00290182
272,1.156070,0.00290069
273,1.499489,0.00289954
274,0.980077,0.00289839
275,1.291427,0.00289724
276,1.398871,0.00289607
277,1.180944,0.00289491
278,1.337732,0.00289373
279,1.197493,0.00289255
280,1.264113,0.00289136
281,1.319904,0.00289017
282,1.309257,0.00288897
283,1.299330,0.00288776
284,1.018390,0.00288655
285,1.128859,0.00288533
286,1.073593,0.00288411
287,1.283424,0.00288288
288,1.230595,0.00288164
289,1.169068,0.00288039
290,1.302107,0.00287914
291,1.088874,0.00287789
292,1.221781,0.00287663
293,0.843984,0.00287536
294,0.999625,0.00287408
295,1.221099,0.0028728
296,0.927492,0.00287152
297,1.388478,0.00287022
298,1.404796,0.00286892
299,0.848001,0.00286762
300,1.233241,0.00286631
301,1.073310,0.00286499
